sample_ID,Region,batch_ID,site,lat,long,blade_location,sample_wet_wt,sample_dry_wt,wet_minus_dry,moisture_content,sample_width,Total_As,Total_As_wet,Inorganic_As,iAs_wet,percent_iAs_to_totAs,Cd,Cd_wet,Hg,Hg_wet,Pb,Pb_wet,P,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Se,Sr,Mo,Ag,Tl
MIS_3B,SS,batch_1,MIS,42.5464,-70.7983,bottom,8.03,1.365,6.6650,0.1700,10,68.3273,0.5671,0.0816,0.0007,0.1195,3.1023,0.0257,0.0166,0.0001,2.0420,0.0169,3526.9469,0.7678,0.1166,3.0703,17.8958,0.0693,0.1776,4.4076,29.5065,0.0000,421.1608,0.2340,0.0239,0.0006
MIS_3T,SS,batch_2,MIS,42.5464,-70.7983,top,11.83,2.530,9.3000,0.2139,12,46.8108,0.3680,0.0958,0.0008,0.2046,0.6903,0.0054,0.0234,0.0002,1.1454,0.0090,2333.4290,2.0726,0.5114,4.3040,64.5101,0.1136,0.5424,1.8664,36.5590,-0.0026,1223.8416,0.2019,0.0247,0.0032
MIS_4B,SS,batch_2,MIS,42.5464,-70.7983,bottom,5.56,0.717,4.8430,0.1290,6,58.1396,0.5064,0.0628,0.0005,0.1079,1.7693,0.0154,0.0082,0.0001,1.7176,0.0150,3190.0761,0.9987,0.8785,23.4335,55.8530,0.0916,0.3416,5.5085,27.1029,-0.0710,577.2725,0.1556,0.0250,0.0038
MIS_4T,SS,batch_2,MIS,42.5464,-70.7983,top,4.13,0.591,3.5390,0.1431,6,38.2057,0.3274,0.1366,0.0012,0.3575,0.5812,0.0050,0.0313,0.0003,1.3720,0.0118,2771.6613,1.4623,0.4644,8.3299,87.8090,0.1046,0.3930,2.2117,38.6428,-0.0283,670.5099,0.1870,0.0327,0.0026
MIS_5B,SS,batch_1,MIS,42.5464,-70.7983,bottom,9.47,1.694,7.7760,0.1789,10,47.9044,0.3934,0.1510,0.0012,0.3153,0.3350,0.0028,0.0232,0.0002,1.6841,0.0138,2463.1827,2.1817,0.2730,4.9607,67.5467,0.0654,0.2864,1.8458,45.8740,0.0334,705.8595,0.1401,0.0167,0.0016
MIS_5T,SS,batch_1,MIS,42.5464,-70.7983,top,6.60,1.197,5.4030,0.1814,12,45.8835,0.3756,0.1544,0.0013,0.3365,0.2894,0.0024,0.0408,0.0003,10.0917,0.0826,2390.3216,2.9596,0.3327,4.8195,100.0751,0.0889,0.5116,2.4522,56.1763,0.1049,1159.3991,0.1990,0.0092,0.0036
NFARM,NFARM,batch__3,NFARM,na,-70.7084,bottom,3.40,0.466,2.9340,0.1371,15,71.8758,0.6202,0.1230,0.0011,0.1711,1.4625,0.0126,0.0600,0.0005,0.6723,0.0058,3539.9530,1.3601,0.1881,6.0714,70.4604,0.0755,0.2805,1.8887,17.5715,0.1335,616.9070,0.2245,0.0378,0.0020
NFARM,NFARM,batch__3,NFARM,na,-70.7084,top,2.62,0.315,2.3050,0.1202,15,43.5504,0.3831,0.2129,0.0019,0.4889,0.2286,0.0020,0.0698,0.0006,1.7022,0.0150,2428.9711,3.1365,0.5888,9.6655,281.7948,0.1227,0.5591,2.8927,41.6243,0.1332,897.9953,0.2358,0.0714,0.0032
NFARM,NFARM,batch__3,NFARM,na,-70.7084,bottom,5.80,0.733,5.0670,0.1264,10,67.1266,0.5864,0.0935,0.0008,0.1393,1.4608,0.0128,0.0516,0.0005,0.7779,0.0068,3295.4889,1.1750,0.2121,6.3567,67.7440,0.0737,0.3447,2.7816,19.7891,0.1056,690.1260,0.2309,0.0401,0.0016
NFARM,NFARM,batch__3,NFARM,na,-70.7084,top,2.31,0.330,1.9800,0.1429,10,40.6008,0.3480,0.2915,0.0025,0.7181,0.1958,0.0017,0.0754,0.0006,1.5290,0.0131,2210.9579,2.9887,0.8405,9.9294,398.8122,0.1460,0.6739,2.2430,39.5243,0.1958,1041.8609,0.2676,0.0560,0.0049
